Selectable 	Probability 	Area(Height*Width)
<html>?</html>	1.2918736	
E	1.8861929	
T	0.8124156	
A	1.3852096	
O	1.4644455	
I	0.8622749	
N	0.9530752	
S	0.6569155	
R	0.8868921	
H	0.8767223	
L	0.64449245	
U	1.0345541	
C	1.1675643	
F	1.0994849	
M	0.68875784	
G	0.72229564	
W	0.81547743	
Y	0.70200646	
P	0.6596669	
B	2.226666	
V	0.8899193	
DIGIT	0.89639944	
K	0.4952261	
X	0.21237382	
J	0.13102554	
Q	0.14032938	
Z	0.19260265	
,	0.16098978	
.	0.13780701	
?	0.14655821	
'	0.11684549	
¶	0.13099147	
